Date	Close
17/05/2018	44
17/05/2018	14
18/05/2018	81
18/05/2018	23
18/05/2018	06
18/05/2018	91
19/05/2018	84
19/05/2018	53
19/05/2018	11
19/05/2018	99
21/05/2018	21
21/05/2018	26
21/05/2018	21
21/05/2018	58
22/05/2018	64
22/05/2018	42
22/05/2018	85
22/05/2018	31
23/05/2018	27
23/05/2018	26
23/05/2018	16
23/05/2018	40
24/05/2018	50
24/05/2018	14
24/05/2018	21
24/05/2018	11
26/05/2018	69
26/05/2018	54
26/05/2018	21
26/05/2018	57
28/05/2018	30
28/05/2018	79
28/05/2018	62
28/05/2018	43
29/05/2018	62
29/05/2018	05
29/05/2018	09
29/05/2018	32
30/05/2018	64
30/05/2018	17
30/05/2018	58
30/05/2018	17
31/05/2018	69
31/05/2018	68
31/05/2018	77
31/05/2018	28
06/01/2018	64
06/01/2018	98
06/01/2018	81
06/01/2018	12
06/02/2018	63
06/02/2018	10
06/02/2018	95
06/02/2018	88
06/04/2018	33
06/04/2018	53
06/04/2018	80
06/04/2018	32
06/05/2018	24
06/05/2018	92
06/05/2018	36
06/05/2018	50
05/06/2018	59
06/06/2018	27
06/06/2018	65
06/06/2018	23
06/07/2018	25
06/07/2018	67
06/07/2018	73
06/07/2018	68
06/08/2018	43
06/08/2018	47
06/08/2018	14
06/08/2018	50
06/09/2018	03
06/09/2018	59
06/09/2018	39
06/09/2018	34
06/11/2018	61
06/11/2018	31
06/11/2018	61
06/11/2018	59
06/12/2018	73
06/12/2018	27
06/12/2018	06
06/12/2018	51
13/06/2018	87
13/06/2018	20
13/06/2018	58
13/06/2018	41
14/06/2018	75
14/06/2018	69
14/06/2018	52
14/06/2018	16
15/06/2018	39
15/06/2018	54
15/06/2018	81
15/06/2018	95
16/06/2018	57
16/06/2018	48
16/06/2018	08
16/06/2018	98
18/06/2018	91
18/06/2018	76
18/06/2018	83
18/06/2018	59
19/06/2018	38
19/06/2018	57
19/06/2018	52
19/06/2018	45
21/06/2018	99
21/06/2018	59
21/06/2018	55
21/06/2018	31
22/06/2018	76
22/06/2018	25
22/06/2018	49
22/06/2018	66
23/06/2018	64
23/06/2018	54
23/06/2018	29
23/06/2018	23
25/06/2018	57
25/06/2018	83
25/06/2018	15
25/06/2018	88
26/06/2018	94
26/06/2018	80
26/06/2018	30
26/06/2018	73
27/06/2018	33
27/06/2018	26
27/06/2018	69
27/06/2018	64
28/06/2018	43
28/06/2018	19
28/06/2018	42
28/06/2018	12
29/06/2018	04
